What networking layers matter most for system design discussions?	Application layer protocols like HTTP and WebSockets, transport layer protocols like TCP and UDP, network layer routing with IP, and physical distance or hardware constraints.	system-design networking osi supplemental hello-interview sdiah-s001
What high-level steps happen when a browser calls an API over HTTPS?	DNS resolves the domain, TCP connects to the server IP and port, TLS negotiates encryption, HTTP sends the request, the server processes it, and the response returns over the connection.	system-design networking http dns tcp tls supplemental hello-interview sdiah-s002
What does DNS do in a request path?	It maps a human-readable hostname to one or more IP addresses that clients can connect to.	system-design networking dns supplemental hello-interview sdiah-s003
Why can DNS-based load balancing be slow to react to failures?	Clients and resolvers cache DNS answers according to TTLs, so stale addresses may keep being used after a backend becomes unhealthy.	system-design networking dns load-balancing reliability supplemental hello-interview sdiah-s004
How do TCP and UDP differ?	TCP provides reliable ordered byte streams with connection setup; UDP sends datagrams with lower overhead but no built-in delivery or ordering guarantee.	system-design networking tcp udp supplemental hello-interview sdiah-s005
When is UDP a better fit than TCP?	When low latency matters more than guaranteed delivery, such as voice, video, gaming, or protocols built on UDP like QUIC.	system-design networking udp latency supplemental hello-interview sdiah-s006
What does TCP backpressure mean at a high level?	If a receiver or network path cannot keep up, TCP naturally slows the sender through flow and congestion control.	system-design networking tcp backpressure supplemental hello-interview sdiah-s007
How does HTTP differ from WebSockets?	HTTP is request-response and usually stateless; WebSockets upgrade a connection so both sides can send messages over a long-lived bidirectional channel.	system-design networking http websocket realtime supplemental hello-interview sdiah-s008
When can long polling be a reasonable realtime fallback?	When true bidirectional realtime is not required and the system can tolerate repeated request cycles with delayed responses.	system-design networking realtime long-polling supplemental hello-interview sdiah-s009
What does HTTPS protect?	It encrypts traffic in transit and authenticates the server, but it does not make user-provided request data trustworthy by itself.	system-design networking https security supplemental hello-interview sdiah-s010
Why should retries use exponential backoff and jitter?	Backoff reduces pressure on an overloaded dependency, and jitter prevents many clients from retrying at the same time.	system-design networking retries resilience supplemental hello-interview sdiah-s011
Why can blind retries make an outage worse?	They multiply traffic to an already degraded dependency and can trigger cascading failure.	system-design networking retries failure-modes supplemental hello-interview sdiah-s012
What is an idempotency key used for?	It lets a server safely deduplicate retried write requests so the same logical operation is not performed twice.	system-design networking api-design idempotency retries supplemental hello-interview sdiah-s013
What is a circuit breaker?	A client-side protection that stops sending requests to a failing dependency for a period, preventing repeated slow failures from consuming resources.	system-design networking resilience circuit-breaker supplemental hello-interview sdiah-s014
How should path parameters, query parameters, and request bodies be used?	Path parameters identify resources, query parameters filter or paginate retrieval, and request bodies carry complex create or update payloads.	system-design api-design rest supplemental hello-interview sdiah-s015
Which HTTP methods are generally safe or idempotent?	GET is safe and idempotent, PUT and DELETE are idempotent when designed conventionally, and POST is usually not idempotent unless paired with an idempotency key.	system-design api-design http idempotency supplemental hello-interview sdiah-s016
What does it mean for an API operation to be idempotent?	Repeating the same request has the same intended effect as doing it once.	system-design api-design idempotency supplemental hello-interview sdiah-s017
