Front	Back	Tags	Source
When should you think of a satellite as two systems rather than one object?	Separate the mission payload from the satellite bus; the payload does the mission work, while the bus provides power, thermal control, attitude, communications, propulsion, structure, and computing.	satellite spacecraft	Satellite.md
Why does payload choice drive the rest of a satellite design?	The payload determines pointing accuracy, power, thermal control, data volume, orbit, downlink capacity, and ground operations requirements.	satellite payload	Satellite (Index).md; Satellite.md
What problem does a constellation solve compared with one satellite?	A constellation improves coverage, revisit, capacity, resilience, or global service by coordinating many satellites instead of relying on one platform.	satellite constellations	Constellation.md
When is a CubeSat appropriate?	Use CubeSats for low-cost research, demos, education, or small commercial missions where standardized 1U-style form factors and lower capability are acceptable.	satellite cubesat	CubeSat.md
What is the main tradeoff of small satellites?	They are cheaper and easier to launch in numbers, but have tighter power, aperture, propulsion, thermal, downlink, and lifetime constraints.	satellite smallsat	Satellite.md
How does tasking differ from systematic acquisition?	Tasking points a satellite at a requested target; systematic acquisition collects according to a fixed plan or survey mode regardless of individual requests.	satellite operations	Satellite.md
When is a taskable satellite better than a systematic satellite?	Use tasking when priority targets, stereo pairs, crisis response, or customer-specific collections matter more than broad routine coverage.	satellite tasking	Satellite.md
When is systematic acquisition better than tasking?	Use systematic acquisition when consistent baselines, time series, global monitoring, or open data coverage matter more than individual target priority.	satellite acquisition	Satellite.md
Why is revisit rate not the same as orbital period?	Orbital period is one loop around Earth; revisit rate depends on orbit, swath, latitude, pointing, constellation size, and tasking priorities.	satellite revisit	Satellite.md
Why does swath width trade against spatial resolution?	A wider swath covers more ground per pass, but usually spreads sensor resources over a larger area, reducing detail or signal quality.	satellite imaging	Swath.md; Resolution.md
How do footprint, scene, strip, and tile differ in imagery workflows?	A footprint is coverage area; a strip is a continuous collection; a scene is a bounded acquisition product; a tile is a standardized grid chunk for processing or distribution.	satellite imagery	Satellite.md
Why define an AOI before ordering or processing imagery?	An area of interest constrains search, tasking, filtering, clipping, cost, cloud assessment, and downstream analysis to the geography that matters.	satellite aoi	Area of Interest.md
When is LEO the default orbit for Earth observation?	Use LEO when high spatial resolution, lower latency, and cheaper launch matter more than persistent view of one region.	satellite orbit	Low Earth Orbit.md
What is the main operational weakness of a single LEO satellite?	It only sees a target during brief passes, so revisit, downlink windows, and continuous monitoring are limited without a constellation.	satellite orbit	Low Earth Orbit.md
When is MEO a natural orbit choice?	Use MEO for navigation constellations like GNSS, where predictable geometry and broad regional visibility are more important than imaging resolution.	satellite orbit	Medium Earth Orbit.md; Global Navigation Satellite System.md
How does geosynchronous differ from geostationary?	A geosynchronous satellite has a period matching Earth rotation; a geostationary satellite is the circular equatorial case that appears fixed over one ground point.	satellite orbit	Orbit.md; Geostationary Orbit.md
When is GEO the right orbit despite lower resolution and higher latency?	Use GEO for persistent regional coverage such as weather, broadcast, communications, missile warning, or continuous monitoring of a fixed hemisphere.	satellite orbit	Geostationary Orbit.md
Why is GEO poor for polar coverage?	Geostationary satellites sit above the equator, so high-latitude regions are viewed at very low elevation angles or not usefully visible.	satellite orbit	Geostationary Orbit.md
Why are GEO orbital slots scarce?	GEO is one ring above the equator and satellites must be spaced to avoid RF interference, so longitude slots and spectrum are limited shared resources.	satellite orbit	Geostationary Orbit.md
When is sun-synchronous orbit valuable for optical Earth observation?	Use SSO when consistent local solar time and lighting are needed for change detection, vegetation monitoring, and comparable time series.	satellite orbit	Sun-Synchronous Orbit.md
Why are many sun-synchronous orbits slightly retrograde?	The inclination is tuned so Earth's J2 perturbation precesses the orbital plane about one degree per day, keeping it aligned with the Sun.	satellite orbit	Sun-Synchronous Orbit.md; Satellite.md
When is a polar orbit useful?	Use polar or near-polar orbits for broad Earth coverage, including high latitudes, as Earth rotates under the satellite.	satellite orbit	Polar Orbit.md; Orbit.md
What does inclination control in an orbit?	Inclination controls the latitude range a satellite can cover and whether it is equatorial, inclined, polar, or retrograde.	satellite orbit	Inclination.md
