Front	Back	Tags	Source
When should you say UAS instead of drone?	Use UAS when you mean the whole operating system: aircraft, control link, ground control station, payloads, crew, procedures, and support equipment; drone usually refers only to the uncrewed vehicle.	drone uas	Drone (Index).md
Why is sUAS not just a synonym for any small flying robot?	sUAS is an aviation/regulatory category for small unmanned aircraft systems; it includes the aircraft plus the system used to operate it, not just the air vehicle.	drone uas	Drone (Index).md; faa.gov
Given an inspection task over a pipeline, why might fixed-wing be a better airframe than a quadrotor?	Fixed-wing aircraft are more efficient for long straight coverage and endurance because lift comes from wings rather than continuous rotor thrust; the tradeoff is launch, recovery, hover, and low-speed maneuverability.	drone airframes	Drone.md
Given a bridge inspection with tight hover and close visual angles, why use a quadrotor instead of fixed-wing?	A quadrotor can hover, move slowly, and reposition precisely by varying motor speeds; it sacrifices endurance and range compared with fixed-wing aircraft.	drone airframes	Drone (Index).md
What practical difference separates a drone, UGV, USV, and UUV?	The operating environment drives design and mission constraints: air for drones or UAS, land for UGV, water surface for USV, and underwater for UUV.	drone unmanned-systems	Drone (Index).md
What problem does a quadrotor solve mechanically by using four independently controlled motors?	It removes the need for a swashplate or complex rotor mechanics; pitch, roll, yaw, and thrust are controlled by changing relative motor speeds.	drone airframes	Drone (Index).md
Why are brushless DC motors common on FPV and multirotor drones?	They provide high power-to-weight, high RPM, and reliability without mechanical brushes; they require an ESC for electronic commutation.	drone propulsion	Drone.md; Brushless Motor.md
What does the ESC contribute that the flight controller cannot do directly?	The flight controller computes motor commands, but the ESC switches high battery current into the brushless motor phases at the right timing and speed.	drone propulsion	Electronic Speed Controller.md; Flight Controller.md
When does a 4-in-1 ESC make sense over separate ESCs?	Use a 4-in-1 ESC for compact multirotor builds with simpler wiring; use separate ESCs when physical separation, cooling, redundancy, or repairability matters more.	drone propulsion	Drone.md
Why is DShot preferable to analog PWM for modern multirotor ESC commands?	DShot sends digital throttle commands, reducing calibration ambiguity and timing sensitivity compared with pulse-width PWM signaling.	drone protocols	Digital Shot.md; Pulse Width Modulation.md
What does duty cycle mean in PWM motor or servo control?	Duty cycle is the fraction of a repeating pulse period spent on; changing it encodes a command or average power level.	drone protocols	Drone (Index).md
Why should motor, propeller, ESC, and battery choice be treated as one system?	Changing one changes current draw, thrust, heat, and flight time; an over-propped motor can overload ESCs or batteries even if each part looks acceptable alone.	drone propulsion	Drone.md
What job does the flight controller perform between receiver and ESCs?	It reads pilot or autopilot commands, estimates vehicle state from sensors, then outputs actuator commands that stabilize and move the aircraft.	drone flight-control	Flight Controller.md
Why is a flight controller a real-time control problem rather than just a command router?	It must continuously compare desired motion with measured motion and make tiny corrections fast enough to reject wind, turbulence, drift, and pilot input changes.	drone flight-control	Flight Controller.md
When should a beginner use Angle mode instead of Rate or Manual mode?	Use Angle mode when you want self-leveling and pitch/roll limits; Rate or Manual gives more authority but requires the pilot to manage attitude directly.	drone flight-modes	Flight Controller.md
What does Horizon mode trade off against Angle mode?	Horizon keeps self-leveling near center stick but allows more aggressive attitude near stick extremes; it is a bridge between beginner stabilization and full rate control.	drone flight-modes	Flight Controller.md
Why choose an F7 or H7 flight-controller MCU over an older F4?	Choose F7 or H7 when you need more processing headroom, better I/O behavior, more UARTs, more peripherals, or ArduPilot/PX4/INAV-style complex builds.	drone flight-control	Flight Controller.md
What failure mode does arming/disarming protect against?	It prevents accidental motor or actuator output while handling or configuring the aircraft; arming should only happen when the vehicle is ready to become live.	drone safety	Drone (Index).md; github.com/iNavFlight/inav
Why use a smoke stopper on first power-up after a build or repair?	It limits current so wiring mistakes, solder bridges, or reversed connections are less likely to destroy electronics instantly.	drone safety	Drone (Index).md
Why is GPS Return to Home not a substitute for good preflight setup?	RTH depends on a valid home point, sufficient GPS quality, healthy compass/navigation estimate, safe altitude, and enough battery; bad setup can automate a crash.	drone safety	Drone (Index).md; Flight Controller.md
What does an IMU give a drone that GPS cannot?	An IMU measures short-term acceleration and rotation at high rate, so the controller can stabilize attitude even when GPS is slow, unavailable, or too noisy.	drone navigation	Inertial Measurement Unit.md
Why does IMU-only navigation drift?	Velocity and position are computed by integrating noisy acceleration over time; small errors compound, so the estimate diverges without external correction.	drone navigation	Inertial Measurement Unit.md
What is the practical difference between a gyroscope and an accelerometer in a flight controller?	A gyroscope measures angular rotation rate for attitude changes; an accelerometer measures linear acceleration and gravity cues, helping estimate tilt but not cleanly during maneuvering.	drone sensors	Inertial Measurement Unit.md; Gyroscope.md
When is a magnetometer helpful, and when is it risky?	It helps estimate heading relative to magnetic north, but nearby motors, current, steel, and local magnetic disturbances can corrupt it and mislead navigation.	drone sensors	Drone (Index).md
Why use a barometer on a drone that already has GPS altitude?	Barometers provide smoother relative altitude estimates from pressure changes; GPS altitude is often noisier and less useful for tight height control.	drone sensors	Drone (Index).md
Why combine GPS with INS or IMU data?	GPS constrains long-term position drift while inertial sensors bridge short outages and provide high-rate motion; together they are more robust than either alone.	drone navigation	GPS INS.md; Inertial Measurement Unit.md
What failure mode does GPS/INS fusion reduce but not eliminate?	It reduces drift during brief GPS loss and smooths noisy GPS, but sustained jamming, spoofing, bad initialization, or poor inertial sensors can still corrupt navigation.	drone navigation	GPS INS.md; cisa.gov
Why does a drone need at least four GPS satellites for full 3D positioning?	Three ranges constrain position, but the receiver clock is imperfect; the fourth satellite helps solve altitude and receiver clock error.	drone navigation	Global Positioning System.md
Why is the T in PNT operationally important for drones and infrastructure?	Precise timing synchronizes radios, networks, logs, sensor fusion, and distributed systems; losing timing can break workflows even when rough position is still known.	drone pnt	Position, Navigation, and Timing.md; cisa.gov
When should AltPNT be part of a drone mission design?	Use AltPNT when GNSS loss, jamming, spoofing, indoor operation, urban canyon flight, or critical timing failure would make the mission unsafe or useless.	drone pnt	Alternative Positioning, Navigation, and Timing.md; gps.gov
What is the main practical difference between GPS jamming and GPS spoofing?	Jamming denies or degrades reception; spoofing provides false signals that can make a receiver confidently compute the wrong position, time, or movement.	drone electronic-warfare	GNSS Jamming.md; GNSS Spoofing.md; cisa.gov
Why is spoofing often more dangerous than simple GPS loss?	Loss of GPS can trigger failsafes; spoofing can preserve apparent validity while slowly steering navigation, timing, or geofencing logic into a wrong state.	drone electronic-warfare	GNSS Spoofing.md; cisa.gov
What does DDIL force you to assume about drone operations?	Communications may be denied, disrupted, intermittent, or low bandwidth, so the system needs autonomy, degraded modes, local logging, and clear lost-link behavior.	drone c2	Denied, Disrupted, Intermittent, Low-Bandwidth.md
What problem does a ground control station solve beyond manual stick control?	A GCS supports mission planning, configuration, telemetry monitoring, autonomous operations, and post-mission analysis, not just real-time piloting.	drone gcs	Ground Control Station.md; ardupilot.org
When is MAVLink a good fit for a drone system?	Use MAVLink when low-bandwidth telemetry, autopilot status, mission upload, parameter control, payload messages, and ground-control integration need a common lightweight protocol.	drone protocols	Micro Air Vehicle Link.md; mavlink.io
Why does MAVLink use both streaming telemetry and guaranteed point-to-point delivery?	High-rate state data can be multicast efficiently, while mission and parameter changes need targeted delivery and retransmission because missed configuration messages matter.	drone protocols	mavlink.io
What is the difference between SBUS/CRSF/ELRS and MAVLink in a drone stack?	SBUS, CRSF, and ELRS are primarily pilot control or RC link protocols; MAVLink is broader autopilot telemetry, mission, parameter, and system messaging.	drone protocols	Serial Bus.md; Crossfire.md; ExpressLRS.md; mavlink.io
When would ExpressLRS be attractive for an FPV build?	Use ELRS when you want open, low-latency RC control with strong range, telemetry, and broad 900 MHz or 2.4 GHz hardware support.	drone radio	ExpressLRS.md; expresslrs.org
What is the practical job of a UART on a flight controller?	A UART connects serial peripherals such as GPS, receivers, telemetry radios, VTX control, and companion devices; limited UART count can constrain a build.	drone electronics	Universal Asynchronous Receiver-Transmitter.md; Flight Controller.md
When would SPI be preferred over I2C on a flight controller board?	Use SPI for faster short-distance chip-to-chip links such as IMUs or flash; use I2C for simpler low-speed peripheral buses where bandwidth is less critical.	drone electronics	Serial Peripheral Interface.md; Inter-Integrated Circuit.md
Why does antenna placement matter on a drone?	Antennas need clear radiation patterns and separation from noise, carbon, batteries, and high-current wiring; poor placement can shorten range or create failsafe-triggering dropouts.	drone radio	Drone (Index).md
What does radio horizon mean for low-altitude drone links?	Even with enough transmitter power, Earth curvature, terrain, buildings, and foliage can block line-of-sight RF paths, limiting control or telemetry range.	drone radio	Drone (Index).md
When is mesh networking useful for drone operations?	Use mesh when nodes can relay for each other to extend coverage, route around blocked links, or maintain team connectivity without relying on one central radio path.	drone networking	Mesh Networking.md; Drone (Index).md
What problem does a communications relay solve in BVLOS or terrain-masked missions?	A relay restores line-of-sight or network reach by receiving and retransmitting traffic between the aircraft, operators, and payload users.	drone networking	Drone (Index).md
Why does a LiPo battery fit high-performance FPV better than a heavier Li-ion pack?	LiPo packs can deliver high burst current for aggressive maneuvering; Li-ion usually favors energy density and endurance over high discharge performance.	drone power	Drone.md; Lithium Polymer.md
How do you use C rating to sanity-check a drone battery choice?	Maximum continuous current is roughly capacity in amp-hours times C rating; compare that against expected motor and payload current with margin.	drone power	Drone (Index).md
What failure modes does a battery management system try to prevent?	A BMS monitors and protects cells from unsafe voltage, current, temperature, and imbalance that can damage packs or create fire risk.	drone power	Battery Management System.md
What is the difference between a PDB, BEC, voltage regulator, and buck converter?	A PDB distributes battery power; a BEC supplies lower-voltage electronics; a voltage regulator holds stable output; a buck converter is an efficient step-down regulator.	drone power	Drone (Index).md; Buck Converter.md
Why is voltage regulation a flight-safety issue, not just an electronics detail?	Brownouts or noisy power can reboot flight controllers, receivers, GPS, or video gear in flight, producing loss of control or loss of situational awareness.	drone power	Drone (Index).md
When should geofencing be used on a drone mission?	Use geofencing to enforce operational boundaries, trigger warnings or actions, and reduce the chance of airspace, property, or safety-limit violations.	drone safety	Geofencing.md
Why can a geofence fail even when configured correctly?	It depends on trustworthy position estimates; GPS loss, spoofing, bad datum assumptions, or poor home-point setup can make the boundary logic wrong.	drone safety	Geofencing.md; cisa.gov
Why is Remote ID relevant to U.S. drone planning?	Most registered drones operating in U.S. airspace need Remote ID; drones without Remote ID generally must operate within visual line of sight inside a FRIA.	drone regulations	faa.gov
What does VLOS require operationally under Part 107?	The pilot or visual observer must be able to see the aircraft unaided except corrective lenses well enough to know location, attitude, altitude, direction, hazards, and risk to people or property.	drone regulations	ecfr.gov; faa.gov
