Front	Back	Tags	Source
What problem does the OSI model solve in network debugging?	It gives a shared vocabulary for isolating whether a problem is physical, link-layer, network-layer, transport-layer, or application-layer.	networking fundamentals	OSI Model.md
When is the OSI model most useful even if real protocols do not map perfectly to it?	Use it as a troubleshooting and communication model, not as a literal implementation diagram.	networking fundamentals	OSI Model.md
What belongs at the application layer in practical networking work?	Application protocols and semantics such as HTTP, DNS, SSH, SMTP, REST, RPC, and browser security behavior.	networking fundamentals	Networking (Index).md
How is the transport layer different from the network layer?	The network layer routes packets between hosts; the transport layer connects processes on those hosts using ports and transport behavior such as reliability or datagrams.	networking fundamentals	Networking (Index).md
What question does the network layer answer?	It answers where a packet should go next based on logical addresses and routing.	networking fundamentals	Network Layer.md
What question does the transport layer answer?	It answers which process or connection on a host should receive the data and what delivery guarantees apply.	networking fundamentals	Transport Layer.md
Why is the distinction between control plane and data plane useful?	The control plane decides or distributes forwarding rules; the data plane applies those rules to actual packets.	networking architecture	Data Plane.md; Control Plane.md
What failure mode can happen if the control plane is unhealthy but the data plane is still running?	Existing traffic may keep forwarding, but routes, policies, failovers, or service discovery updates may stop changing correctly.	networking architecture	Control Plane.md
What failure mode can happen if the data plane is broken but the control plane is healthy?	The system may compute correct routes or policies, but packets still fail to forward.	networking architecture	Data Plane.md
How is routing different from forwarding?	Routing chooses or computes paths; forwarding moves each packet according to the chosen path or table entry.	networking routing	Routing.md
What problem does a route table solve?	It maps destination prefixes to next-hop targets so hosts, routers, or cloud subnets know where to send traffic.	networking routing	Route Table.md; docs.aws.amazon.com
Why is longest-prefix matching important in routing?	More-specific routes must win over broader routes, so a subnet-specific route can override a default route.	networking routing	rfc-editor.org
When is a default route useful?	Use a default route when traffic that does not match a more specific route should go to a general exit such as an internet gateway, NAT gateway, router, VPN, or transit gateway.	networking routing	Route Table.md; docs.aws.amazon.com
What does CIDR notation give you that old classful networks did not?	CIDR lets networks use arbitrary prefix lengths, conserving address space and supporting route aggregation.	networking ip	rfc-editor.org
How should you interpret 10.0.4.0/24?	The first 24 bits identify the network prefix, leaving 8 bits for host addresses inside that subnet.	networking ip	Classless Inter-Domain Routing.md
Why does route aggregation matter on the internet?	Aggregating prefixes reduces the number of routes global routers must carry, limiting routing-table growth.	networking routing	rfc-editor.org
What is a packet?	A packet is a network-layer unit of data carrying source and destination addressing plus payload across networks.	networking packets	Networking (Index).md
How does a frame differ from a packet?	A frame is link-layer data for a local medium such as Ethernet; a packet is network-layer data routed across networks.	networking packets	Networking (Index).md
Why do packets get wrapped in frames?	The packet needs a local link-layer envelope so it can cross the next physical or local network segment.	networking packets	rfc-editor.org
What does IP provide and not provide?	IP provides addressing and best-effort packet delivery across networks; it does not provide reliability, ordering, retries, or process-level delivery.	networking ip	Internet Protocol.md; rfc-editor.org
Why is IP considered best-effort?	Routers try to deliver packets, but packets can be dropped, reordered, duplicated, or delayed without IP itself fixing it.	networking ip	rfc-editor.org
What is IPv4's main scaling limitation?	IPv4 uses 32-bit addresses, so public address space is limited and heavily relies on NAT, private ranges, and conservation techniques.	networking ip	Networking (Index).md; rfc-editor.org
Why does IPv6 matter even when IPv4 still works?	IPv6 provides vastly more address space and modern addressing behavior, reducing dependence on address-sharing workarounds like NAT.	networking ip	rfc-editor.org
When does IPv6 not remove the need for firewalls?	Public addressability does not imply public access should be allowed; security policy still controls which traffic is permitted.	networking ip	Networking (Index).md
What does ICMP help diagnose?	ICMP carries control and error messages such as echo replies, destination unreachable, time exceeded, and packet-too-big signals.	networking diagnostics	Internet Control Message Protocol.md; rfc-editor.org
Why can blocking all ICMP break networks?	It can hide reachability errors and interfere with path MTU discovery, making some connections fail or stall mysteriously.	networking diagnostics	rfc-editor.org
What does ARP solve on an IPv4 LAN?	ARP maps an IPv4 address to the MAC address needed to deliver a frame on the local link.	networking lan	rfc-editor.org
When does a host use ARP instead of sending directly to the destination IP?	It uses ARP when the destination IP is on the same local network or when it needs the MAC address of the default gateway for off-subnet traffic.	networking lan	rfc-editor.org
What problem does DHCP solve?	DHCP automatically gives hosts IP configuration such as address, subnet mask or prefix, default gateway, DNS servers, and lease timing.	networking ip	Networking (Index).md; rfc-editor.org
Why are DHCP leases useful?	Leases let addresses be reused, renewed, and centrally managed without manually configuring every host.	networking ip	rfc-editor.org
When is static IP configuration preferable to DHCP?	Use static or reserved addressing for infrastructure that must be reachable at predictable addresses, such as routers, DNS servers, and some appliances.	networking ip	Networking (Index).md
What does a MAC address identify?	A MAC address identifies a network interface on a local link-layer network, not a globally routed internet endpoint.	networking lan	Networking (Index).md
Why is a MAC address not enough to reach a server across the internet?	MAC addresses are only meaningful on the local link; IP routing is needed across networks.	networking lan	rfc-editor.org
What is a loopback address used for?	A loopback address sends traffic back to the same host, useful for local development, diagnostics, and services bound only to the local machine.	networking ip	Loopback Address.md
Why does 127.0.0.1 often work when the network is down?	It never leaves the host, so it tests local networking and services rather than external connectivity.	networking diagnostics	Loopback Address.md
What problem does a port solve?	A port identifies which process or service on a host should receive traffic for a given transport protocol.	networking transport	Port.md
Why do IP address and port need to be considered together?	The IP identifies the host interface; the port identifies the application endpoint on that host.	networking transport	Port.md
What is a socket in practical terms?	A socket is a software endpoint for network communication, usually described by protocol, local IP, local port, and sometimes remote IP and remote port.	networking transport	Networking (Index).md
How does TCP differ from UDP?	TCP provides reliable, ordered, connection-oriented byte streams; UDP sends connectionless datagrams without built-in reliability or ordering.	networking transport	Transport Control Protocol.md; User Datagram Protocol.md
When is TCP the default choice?	Use TCP when correctness needs reliable, ordered delivery and the application does not want to implement retransmission and ordering itself.	networking transport	rfc-editor.org
When is UDP a better fit than TCP?	Use UDP when low overhead, application-controlled reliability, multicast-style patterns, or tolerance of loss matters more than built-in ordered delivery.	networking transport	User Datagram Protocol.md
What failure mode does TCP head-of-line blocking create?	A lost TCP segment stalls delivery of later bytes, even if those bytes belong to independent higher-level streams.	networking transport	Head-of-Line Blocking.md; HTTP 3.md
How does TCP flow control differ from congestion control?	Flow control prevents overwhelming the receiver; congestion control prevents overwhelming the network path.	networking transport	Networking (Index).md; rfc-editor.org
Why do congestion control algorithms matter?	They regulate sending rate so many flows can share network capacity without persistent overload and collapse.	networking transport	rfc-editor.org
What is packet loss telling you in a network path?	Packet loss means packets are being dropped or corrupted, often due to congestion, bad links, overloaded devices, policy, or wireless interference.	networking performance	Networking (Index).md
Why can small packet loss badly hurt TCP throughput?	TCP treats loss as a congestion signal and retransmits missing data, which reduces the sending rate and increases latency.	networking performance	rfc-editor.org
How is bandwidth different from throughput?	Bandwidth is the theoretical or configured capacity; throughput is the actual useful data rate achieved.	networking performance	Networking (Index).md
How is latency different from throughput?	Latency is time per trip or request; throughput is work completed per unit time. A network can have high bandwidth but still high latency.	networking performance	Networking (Index).md
Why does tail latency matter more than average latency for user experience?	Users and distributed systems often feel the slowest requests, so p95 or p99 latency exposes pain that averages hide.	networking performance	Networking (Index).md
What does Time to First Byte measure?	TTFB measures time from starting a request until the first byte of the response arrives, combining DNS, connection setup, TLS, server processing, and initial network delay.	networking performance	Time to First Byte.md
Why is TTFB not just server compute time?	It includes network setup and transit costs as well as backend processing before the first byte is returned.	networking performance	Time to First Byte.md
What is MTU?	MTU is the largest packet or frame size a link or path can carry without fragmentation.	networking performance	Networking (Index).md; rfc-editor.org
What failure mode does an MTU mismatch create?	Packets that are too large may fragment, be dropped, or hang if path MTU discovery is blocked.	networking performance	rfc-editor.org
What is path MTU?	Path MTU is the smallest MTU across all links between a source and destination.	networking performance	rfc-editor.org
What is a keepalive used for?	A keepalive periodically confirms that a connection, session, NAT mapping, or peer is still alive.	networking reliability	Networking (Index).md
Why can keepalives be necessary through NATs and firewalls?	Idle stateful middleboxes may expire mappings, so periodic traffic keeps the path state alive.	networking reliability	Middlebox.md
What is the risk of aggressive keepalives?	They waste bandwidth and battery, increase load, and can mask deeper lifecycle problems.	networking reliability	Networking (Index).md
What does a timeout prevent?	A timeout prevents callers from waiting forever when a peer, dependency, network path, or operation has failed or become too slow.	networking reliability	Networking (Index).md
Why are timeouts part of correctness, not just performance tuning?	Without timeouts, failures can consume threads, sockets, memory, and user patience indefinitely.	networking reliability	Networking (Index).md
What does backpressure protect against?	Backpressure prevents fast producers from overwhelming slower consumers, queues, buffers, or downstream services.	networking reliability	Networking (Index).md
How is backpressure different from a timeout?	Backpressure says slow down before failure; a timeout gives up after waiting too long.	networking reliability	Networking (Index).md
What is a health check used for?	A health check probes whether a service, host, or dependency should receive traffic or be considered available.	networking reliability	Networking (Index).md
