Why do network layers help application developers reason about communication?	They hide lower-level details behind abstractions, so application code can rely on services like reliable transport or name resolution instead of raw packet handling.	system-design networking osi expansion-2 hello-interview sdiah-x001
What does the network layer primarily provide in the networking stack?	IP-based routing and addressing, including best-effort packet forwarding between networks.	system-design networking ip osi expansion-2 hello-interview sdiah-x002
What does the transport layer add on top of IP?	End-to-end communication features such as reliability, ordering, flow control, or lower-overhead datagram delivery depending on the protocol.	system-design networking transport tcp udp expansion-2 hello-interview sdiah-x003
What does the application layer define?	Application-specific communication protocols such as HTTP, DNS, WebSockets, WebRTC, and gRPC.	system-design networking application-layer expansion-2 hello-interview sdiah-x004
What are the three steps of the TCP connection handshake?	SYN from client, SYN-ACK from server, then ACK from client.	system-design networking tcp expansion-2 hello-interview sdiah-x005
What are the four broad steps of TCP connection teardown?	One side sends FIN, the other ACKs, the other side sends FIN, and the first side ACKs.	system-design networking tcp expansion-2 hello-interview sdiah-x006
Why do HTTP keep-alive and HTTP/2 multiplexing matter?	They reduce repeated connection setup overhead by reusing connections or carrying multiple logical requests over one connection.	system-design networking http tcp latency expansion-2 hello-interview sdiah-x007
What is a public IP address used for?	It identifies a device or network endpoint in a way that internet routing infrastructure can route to.	system-design networking ip expansion-2 hello-interview sdiah-x008
What is a DHCP server commonly responsible for?	Assigning IP addresses to nodes when they join or boot on a network.	system-design networking dhcp ip expansion-2 hello-interview sdiah-x009
What does a regional internet registry help manage?	Allocation of routable public IP address space.	system-design networking ip expansion-2 hello-interview sdiah-x010
What key guarantees does UDP not provide?	No connection setup, delivery guarantee, ordering guarantee, duplicate protection, flow control, or congestion control.	system-design networking udp expansion-2 hello-interview sdiah-x011
Why can VoIP prefer UDP over TCP?	A small audio hiccup from packet loss is often better than retransmission delay that makes conversation lag.	system-design networking udp voip latency expansion-2 hello-interview sdiah-x012
Why is UDP awkward for browser-based product designs?	Browsers generally do not expose raw UDP broadly outside protocols such as WebRTC, so browser clients need another path.	system-design networking udp browsers expansion-2 hello-interview sdiah-x013
What does it mean that TCP is a stream?	It provides a stateful ordered byte stream between endpoints, so data sent on the same connection is delivered in order.	system-design networking tcp expansion-2 hello-interview sdiah-x014
What is TCP flow control for?	Preventing the sender from overwhelming the receiver with more data than it can process.	system-design networking tcp flow-control expansion-2 hello-interview sdiah-x015
What is TCP congestion control for?	Adapting send rate to network conditions so traffic does not collapse the network path.	system-design networking tcp congestion-control expansion-2 hello-interview sdiah-x016
Why are simple HTTP servers often easy to scale horizontally?	HTTP is stateless by default, so each request can be handled independently without server-local session state.	system-design networking http stateless scaling expansion-2 hello-interview sdiah-x017
What are the four main parts of an HTTP exchange?	Method, status code, headers, and body.	system-design networking http expansion-2 hello-interview sdiah-x018
What is the purpose of HTTP content negotiation?	Clients advertise what formats or encodings they support, and servers respond with an efficient compatible representation.	system-design networking http content-negotiation expansion-2 hello-interview sdiah-x019
How do Accept-Encoding and Content-Encoding work together?	The client uses Accept-Encoding to say what compression it supports; the server uses Content-Encoding to say what it actually returned.	system-design networking http compression expansion-2 hello-interview sdiah-x020
Why does HTTPS not make request bodies trustworthy?	HTTPS protects traffic in transit, but clients can still send malicious or spoofed data that the server must validate.	system-design networking https security expansion-2 hello-interview sdiah-x021
What is the role of a WebRTC signaling server?	It lets peers discover each other and exchange connection information before attempting a peer-to-peer connection.	system-design networking webrtc realtime expansion-2 hello-interview sdiah-x022
What problem does STUN solve in WebRTC?	It helps clients discover public routing information needed for NAT traversal and peer-to-peer connection attempts.	system-design networking webrtc stun expansion-2 hello-interview sdiah-x023
What problem does TURN solve in WebRTC?	It relays traffic through a server when direct peer-to-peer connectivity cannot be established.	system-design networking webrtc turn expansion-2 hello-interview sdiah-x024
What are the high-level steps of WebRTC connection setup?	Connect to signaling server, use STUN to discover public address info, exchange that info through signaling, then attempt a direct peer connection.	system-design networking webrtc expansion-2 hello-interview sdiah-x025
When is WebRTC usually the right choice?	Audio and video calling or conferencing, where peer-to-peer media transport is valuable despite complexity.	system-design networking webrtc realtime expansion-2 hello-interview sdiah-x026
What is client-side load balancing?	The client chooses which backend server to call, often using a service registry, directory, DNS result, or cached cluster metadata.	system-design networking load-balancing client-side expansion-2 hello-interview sdiah-x027
When does client-side load balancing work best?	When clients are controlled and can receive server-list updates, or when stale updates are acceptable as with DNS.	system-design networking load-balancing expansion-2 hello-interview sdiah-x028
What is the Redis Cluster MOVED response?	A redirect telling the client that the key's hash slot belongs to a different node, so the client should refresh its slot map.	system-design networking redis cluster expansion-2 hello-interview sdiah-x029
Why does DNS load balancing update slowly?	DNS records are cached by resolvers and clients according to TTLs, so changes cannot reliably propagate faster than cache expiration.	system-design networking dns load-balancing expansion-2 hello-interview sdiah-x030
What tradeoff does a dedicated load balancer introduce?	It adds a network hop but gives fast backend membership updates, health checks, and fine-grained routing control.	system-design networking load-balancing tradeoffs expansion-2 hello-interview sdiah-x031
What does an L4 load balancer not inspect?	Application-level request content such as URL path, headers, cookies, or body.	system-design networking load-balancing l4 expansion-2 hello-interview sdiah-x032
What does an L7 load balancer do with incoming connections?	It terminates incoming application-layer requests and creates separate backend requests or connections to services.	system-design networking load-balancing l7 expansion-2 hello-interview sdiah-x033
What is a load balancer health check?	A periodic test that determines whether a backend should continue receiving traffic.	system-design networking load-balancing health-checks expansion-2 hello-interview sdiah-x034
Why is least-connections useful for WebSocket or SSE workloads?	It avoids sending too many long-lived connections to a server that already has many active clients.	system-design networking load-balancing websocket sse expansion-2 hello-interview sdiah-x035
What is regional partitioning?	Dividing data and services by geography so users are served by nearby compute and nearby data for lower latency.	system-design networking regionalization latency expansion-2 hello-interview sdiah-x036
Why does Uber-like ride matching naturally fit regional partitioning?	A rider in one city usually only needs local drivers, so the system can keep city or regional data close together.	system-design networking regionalization proximity expansion-2 hello-interview sdiah-x037
What is the danger of assuming the network is reliable?	Distributed calls can fail, delay, drop packets, or return unexpected results, so designs need timeouts, retries, and fallbacks.	system-design networking reliability failure-modes expansion-2 hello-interview sdiah-x038
What are the states of a circuit breaker?	Closed when calls flow normally, open when calls fail fast, and half-open when test requests check whether recovery has happened.	system-design networking circuit-breaker reliability expansion-2 hello-interview sdiah-x039
Why does a circuit breaker improve user experience during dependency failure?	It fails fast or returns a fallback instead of leaving users waiting on repeated timeouts.	system-design networking circuit-breaker failure-modes expansion-2 hello-interview sdiah-x040
What should REST resources represent?	Things in the system, such as events, venues, tickets, bookings, users, posts, or orders, rather than action names.	system-design api-design rest resources expansion-2 hello-interview sdiah-x041
When should a REST endpoint use nested resources?	When the parent-child relationship is required for the request to make sense, such as tickets for a specific event.	system-design api-design rest resources expansion-2 hello-interview sdiah-x042
When should a REST endpoint use query parameters for relationships?	When the relationship is an optional filter among many possible filters.	system-design api-design rest query-parameters expansion-2 hello-interview sdiah-x043
Why is POST usually not idempotent?	Repeating a POST commonly creates multiple resources or performs the side effect multiple times.	system-design api-design http idempotency expansion-2 hello-interview sdiah-x044
Why is PUT conventionally idempotent?	It replaces a resource with the supplied representation, so repeating the same request leaves the same final state.	system-design api-design http idempotency expansion-2 hello-interview sdiah-x045
Why is PATCH not guaranteed to be idempotent?	A patch can mean setting a field to a value, which is idempotent, or appending/incrementing, which is not.	system-design api-design http idempotency expansion-2 hello-interview sdiah-x046
Why can DELETE be idempotent even if later responses differ?	After the first delete, repeated deletes leave the resource deleted even if they return 404 instead of 204.	system-design api-design http idempotency expansion-2 hello-interview sdiah-x047
What does a 201 status code usually mean?	The request succeeded and a new resource was created.	system-design api-design http status-codes expansion-2 hello-interview sdiah-x048
What is the broad difference between 4xx and 5xx HTTP errors?	4xx indicates a client-side request problem; 5xx indicates the server failed to handle a valid-looking request.	system-design api-design http errors expansion-2 hello-interview sdiah-x049
What problem did GraphQL originally address?	Different clients needed different data shapes, and fixed REST endpoints caused over-fetching, under-fetching, or endpoint proliferation.	system-design api-design graphql expansion-2 hello-interview sdiah-x050
What does a GraphQL schema define?	The data types, fields, queries, and relationships that clients can traverse.	system-design api-design graphql schema expansion-2 hello-interview sdiah-x051
Why can GraphQL reduce frontend-backend coordination?	Clients can request additional fields already present in the schema without needing a new backend endpoint.	system-design api-design graphql expansion-2 hello-interview sdiah-x052
How does GraphQL authorization differ from REST authorization?	REST often secures endpoints, while GraphQL may need field-level authorization in resolvers.	system-design api-design graphql auth expansion-2 hello-interview sdiah-x053
What is a dataloader pattern used for in GraphQL?	Batching related resolver lookups to avoid N+1 backend queries.	system-design api-design graphql performance expansion-2 hello-interview sdiah-x054
What makes RPC action-oriented?	Clients call named procedures like createBooking or getAvailableTickets rather than manipulating resource URLs.	system-design api-design rpc expansion-2 hello-interview sdiah-x055
What are Protocol Buffers used for in gRPC?	Defining typed service contracts and messages that generate client and server code across languages.	system-design api-design grpc protobuf expansion-2 hello-interview sdiah-x056
Why does generated gRPC code improve reliability?	It catches many client-server contract mismatches at compile time instead of at runtime.	system-design api-design grpc type-safety expansion-2 hello-interview sdiah-x057
What kinds of streaming does gRPC support conceptually?	Server streaming, client streaming, and bidirectional streaming over HTTP/2.	system-design api-design grpc streaming expansion-2 hello-interview sdiah-x058
Why is URL API versioning easy to operate?	The version is visible in the path and can be routed to different code paths, such as /v1/events and /v2/events.	system-design api-design versioning expansion-2 hello-interview sdiah-x059
What is a downside of header-based API versioning?	It keeps URLs cleaner but is less obvious to developers and harder to test casually in browsers.	system-design api-design versioning expansion-2 hello-interview sdiah-x060
Why are API keys better for applications than humans?	They are long secret strings suited to programmatic clients, server-to-server calls, or third-party developer access.	system-design api-design auth api-keys expansion-2 hello-interview sdiah-x061
Why are JWTs useful in distributed systems?	Services can validate the token signature and read user context without a central session lookup if they have the verification key.	system-design api-design auth jwt expansion-2 hello-interview sdiah-x062
What should an API check before allowing a booking cancellation?	That the caller is authenticated and authorized, such as owning the booking or having an admin role.	system-design api-design auth rbac expansion-2 hello-interview sdiah-x063
What is endpoint-specific rate limiting useful for?	Protecting especially sensitive or abuse-prone operations, such as booking attempts during ticket sales.	system-design api-design rate-limiting expansion-2 hello-interview sdiah-x064
Why is relational scalability often exaggerated as a weakness?	Modern SQL systems can scale with read replicas, sharding, connection pooling, caching, and careful architecture.	system-design data-modeling relational-databases scaling expansion-2 hello-interview sdiah-x065
Why are SQL ACID guarantees useful for payments or inventory?	They let related writes succeed or fail atomically, preventing double charges, partial updates, or oversold inventory.	system-design data-modeling acid transactions expansion-2 hello-interview sdiah-x066
When are document databases mainly worth considering?	When schemas change frequently, records vary widely, or deeply nested data would require many joins in SQL.	system-design data-modeling document-database nosql expansion-2 hello-interview sdiah-x067
What is the data-modeling impact of choosing a document database?	You tend to embed and denormalize related data to avoid collection lookups, trading update complexity for read performance.	system-design data-modeling document-database denormalization expansion-2 hello-interview sdiah-x068
Why does a key-value data model become flat?	Values are fetched by exact key, so supporting multiple access patterns often requires duplicated keys or denormalized values.	system-design data-modeling key-value-database expansion-2 hello-interview sdiah-x069
Why are key-value stores often used with SQL rather than instead of SQL?	SQL remains the source of truth, while the key-value store accelerates hot lookups or cacheable access paths.	system-design data-modeling key-value-database caching expansion-2 hello-interview sdiah-x070
Why does time become first-class in wide-column modeling?	Wide-column stores are often optimized for append-heavy time-series or event access, commonly keyed by entity and timestamp.	system-design data-modeling wide-column time-series expansion-2 hello-interview sdiah-x071
Why are graph databases often overused in interviews?	They sound sophisticated, but many graph-like product queries can be handled by SQL or other simpler stores with less operational complexity.	system-design data-modeling graph-database tradeoffs expansion-2 hello-interview sdiah-x072
What three factors should drive schema design?	Data volume, access patterns, and consistency requirements.	system-design data-modeling schema-design expansion-2 hello-interview sdiah-x073
How do API endpoints help determine indexes?	Each endpoint implies query patterns, and indexes should support those specific filters, joins, and sort orders.	system-design data-modeling indexing api-design expansion-2 hello-interview sdiah-x074
Why should primary keys usually not be business data like email?	Business data can change or collide with new rules, while system-generated IDs stay stable as references.	system-design data-modeling primary-keys expansion-2 hello-interview sdiah-x075
Why are one-to-one relationships rare in schema design?	They often indicate that the two tables could be merged unless there is a clear separation reason.	system-design data-modeling relationships expansion-2 hello-interview sdiah-x076
What do database constraints like NOT NULL, UNIQUE, and CHECK protect?	They enforce correctness at the database layer, such as required fields, unique emails, or positive prices.	system-design data-modeling constraints expansion-2 hello-interview sdiah-x077
What is the cost of database constraints?	They add write-time validation overhead and can complicate very high-throughput writes.	system-design data-modeling constraints tradeoffs expansion-2 hello-interview sdiah-x078
Why can foreign keys prevent orphaned records?	The database rejects references to missing parent records, such as a post pointing to a nonexistent user.	system-design data-modeling foreign-keys consistency expansion-2 hello-interview sdiah-x079
When might companies drop foreign-key constraints at very large scale?	When write performance or distributed writes matter more, and referential integrity is enforced in application logic.	system-design data-modeling foreign-keys scaling expansion-2 hello-interview sdiah-x080
What is a good use of denormalization for event logs or audit trails?	Capturing a snapshot of data at a point in time, where later source-data changes should not rewrite history.	system-design data-modeling denormalization audit-logs expansion-2 hello-interview sdiah-x081
Why can a denormalized cache be safer than a denormalized source of truth?	The primary database remains clean and consistent, while the cache can hold precomputed read views that can be rebuilt.	system-design data-modeling denormalization caching expansion-2 hello-interview sdiah-x082
Why is time-range sharding often bad for write-heavy systems?	New writes concentrate on the newest time range, creating a hot shard.	system-design data-modeling sharding hotspots expansion-2 hello-interview sdiah-x083
What makes external caches useful across many application servers?	All app instances share the same cache service, so hot values do not need to be fetched separately per instance.	system-design caching external-cache redis expansion-2 hello-interview sdiah-x084
What latency improvement does the caching article use for Postgres versus Redis?	About 50ms for a Postgres read versus about 1ms from Redis, roughly a 50x improvement.	system-design caching redis latency expansion-2 hello-interview sdiah-x085
What is the main effect of a CDN on origin load?	Cache hits are served from edge servers, so fewer requests reach the origin.	system-design caching cdn origin expansion-2 hello-interview sdiah-x086
What latency example does the caching article give for CDN media delivery?	Serving from a distant origin can add roughly 250-300ms, while a nearby edge may serve in roughly 20-40ms.	system-design caching cdn latency expansion-2 hello-interview sdiah-x087
What is client-side caching best for?	Avoiding network calls by reusing data on the user's device or in a client library when staleness is acceptable.	system-design caching client-side-cache expansion-2 hello-interview sdiah-x088
Why is client-side cache invalidation hard?	The backend has limited control over what data clients keep and when they refresh it.	system-design caching client-side-cache consistency expansion-2 hello-interview sdiah-x089
What kinds of data fit in-process caching?	Small, frequently accessed, rarely changing values such as config, feature flags, reference data, hot keys, counters, or precomputed values.	system-design caching in-process-cache expansion-2 hello-interview sdiah-x090
Why is in-process caching not a Redis replacement?	It is not shared across servers, is lost on restart, and invalidations do not automatically reach other instances.	system-design caching in-process-cache redis expansion-2 hello-interview sdiah-x091
What does write-through caching require from the cache layer?	The cache must synchronously write through to the database before acknowledging the application write.	system-design caching write-through expansion-2 hello-interview sdiah-x092
Why does write-through caching still have consistency edge cases?	The cache update and database write can partially fail unless retries, error handling, or stronger coordination is used.	system-design caching write-through consistency expansion-2 hello-interview sdiah-x093
When does write-through caching make sense?	When reads must be fresh and the system can tolerate slower writes.	system-design caching write-through tradeoffs expansion-2 hello-interview sdiah-x094
When does write-behind caching make sense?	When high write throughput matters and eventual consistency or occasional data loss is acceptable.	system-design caching write-behind tradeoffs expansion-2 hello-interview sdiah-x095
What makes read-through caching a smart proxy pattern?	The cache layer, not the application, knows how to fetch missing data from the backing store.	system-design caching read-through expansion-2 hello-interview sdiah-x096
Why is read-through less common for Redis application caching?	It requires specialized cache infrastructure or libraries, while cache-aside is simpler and more common.	system-design caching read-through redis expansion-2 hello-interview sdiah-x097
How does LRU typically track eviction order?	With an access-order structure such as a linked list or ring buffer so old entries can be removed efficiently.	system-design caching lru eviction expansion-2 hello-interview sdiah-x098
When does LFU eviction fit better than LRU?	When certain keys are consistently popular over time, such as top playlists or trending videos.	system-design caching lfu eviction expansion-2 hello-interview sdiah-x099
Why is FIFO rarely ideal as a cache eviction policy?	It ignores access patterns and can evict entries that are still hot.	system-design caching fifo eviction expansion-2 hello-interview sdiah-x100
Why is TTL not the same thing as an eviction policy?	TTL expires entries based on age, while eviction removes entries because the cache needs memory.	system-design caching ttl eviction expansion-2 hello-interview sdiah-x101
Why can synchronized TTL expiration cause a stampede?	Many requests can miss at the same moment and all try to rebuild the same popular value.	system-design caching ttl cache-stampede expansion-2 hello-interview sdiah-x102
When does cache warming not prevent stampedes?	When values are invalidated on writes rather than expiring predictably by TTL.	system-design caching cache-warming cache-stampede expansion-2 hello-interview sdiah-x103
What is probabilistic early expiration?	A cache-stampede mitigation where entries may refresh before exact expiration so rebuilds spread out over time.	system-design caching cache-stampede mitigation expansion-2 hello-interview sdiah-x104
What should a cache key include for filtered data?	All filters and scope that change the response, such as user, permissions, region, page cursor, or query parameters.	system-design caching cache-keys security expansion-2 hello-interview sdiah-x105
Why can a cache hit rate hide a hot-key problem?	The cache may be serving most requests successfully, but one key can still overload a single shard or node.	system-design caching hot-key hotspots expansion-2 hello-interview sdiah-x106
What is partitioning within a single database instance useful for?	Making large tables easier to scan, maintain, vacuum, analyze, or index without adding more machines.	system-design sharding partitioning databases expansion-2 hello-interview sdiah-x107
How does horizontal partitioning split data?	It splits rows across partitions while keeping the same columns.	system-design sharding partitioning expansion-2 hello-interview sdiah-x108
How does vertical partitioning split data?	It splits columns or feature areas, often separating hot columns from large or rarely used columns.	system-design sharding partitioning expansion-2 hello-interview sdiah-x109
What does each shard own in a sharded database?	Its own subset of data plus independent CPU, memory, storage, and connection pool.	system-design sharding databases expansion-2 hello-interview sdiah-x110
What are the two decisions involved in sharding data?	Choose what field to shard by, then choose how that field maps to physical shards.	system-design sharding shard-key expansion-2 hello-interview sdiah-x111
Why does shard-key cardinality matter?	Low-cardinality keys cannot spread data across many shards; high-cardinality keys give room for distribution.	system-design sharding shard-key cardinality expansion-2 hello-interview sdiah-x112
Why is country often a poor shard key for a global app?	User distribution may be extremely uneven, so one country shard can become much larger and hotter than others.	system-design sharding shard-key hotspots expansion-2 hello-interview sdiah-x113
Why is is_premium a bad shard key?	It has only two values and likely uneven traffic, so it cannot scale across many shards.	system-design sharding shard-key cardinality expansion-2 hello-interview sdiah-x114
When does range-based sharding work well?	When queries naturally target bounded ranges and load is spread across those ranges, such as some tenant ID ranges.	system-design sharding range-sharding expansion-2 hello-interview sdiah-x115
What is the main benefit of range-based sharding?	Efficient range scans can hit one shard instead of scanning every shard.	system-design sharding range-sharding query-patterns expansion-2 hello-interview sdiah-x116
Why is hash-based sharding the default strategy?	Hashing tends to distribute keys evenly across shards when the shard key has good cardinality.	system-design sharding hash-sharding expansion-2 hello-interview sdiah-x117
What makes directory-based sharding flexible?	You can move specific users, tenants, or hot keys by updating a mapping rather than changing a formula.	system-design sharding directory-based-sharding expansion-2 hello-interview sdiah-x118
Why is a directory service a critical dependency in directory-based sharding?	Every request needs it to find the right shard; if it fails, routing fails even if data shards are healthy.	system-design sharding directory-based-sharding reliability expansion-2 hello-interview sdiah-x119
What metrics can reveal a sharding hot spot?	Per-shard query latency, CPU, request volume, storage growth, or connection saturation.	system-design sharding hotspots observability expansion-2 hello-interview sdiah-x120
How can isolating hot keys help a sharded system?	Very high-traffic keys can move to dedicated shards so they stop overwhelming general-purpose shards.	system-design sharding hotspots mitigation expansion-2 hello-interview sdiah-x121
How can a compound shard key reduce a hot spot?	Adding another dimension, such as date or region, can spread one logical entity's data across more shards.	system-design sharding shard-key hotspots expansion-2 hello-interview sdiah-x122
What is dynamic shard splitting?	Splitting a shard or range that becomes too large or too hot and moving part of it elsewhere.	system-design sharding resharding hotspots expansion-2 hello-interview sdiah-x123
Why are global top-N queries hard in a sharded system?	They often require fanout to every shard, waiting for all responses, merging results, and then taking the global top N.	system-design sharding cross-shard-queries topk expansion-2 hello-interview sdiah-x124
How can global top-N queries be made cheaper?	Precompute them with background jobs, cache the result, or maintain a separate denormalized ranking store.	system-design sharding cross-shard-queries caching expansion-2 hello-interview sdiah-x125
When is it acceptable to query all shards?	For rare administrative or offline queries where higher latency and fanout cost are acceptable.	system-design sharding cross-shard-queries tradeoffs expansion-2 hello-interview sdiah-x126
Why is two-phase commit fragile across shards?	A coordinator and all participants must stay coordinated through prepare and commit; failures can block progress or leave complex recovery.	system-design sharding transactions two-phase-commit expansion-2 hello-interview sdiah-x127
How does a saga handle a multi-shard operation?	It breaks the workflow into local transactions and runs compensating actions if a later step fails.	system-design sharding sagas transactions expansion-2 hello-interview sdiah-x128
Why is a wrong shard key a signal for repeated distributed transactions?	If related data needed for atomic workflows lives on different shards, the design constantly needs cross-shard coordination.	system-design sharding shard-key transactions expansion-2 hello-interview sdiah-x129
How does Cassandra distribute partition keys?	It uses a partitioner such as Murmur3 with virtual nodes to map keys to token ranges on nodes.	system-design sharding cassandra consistent-hashing expansion-2 hello-interview sdiah-x130
How does DynamoDB distribute items at a high level?	It hashes partition keys to internal partitions and can split or merge partitions as data and traffic grow.	system-design sharding dynamodb partitioning expansion-2 hello-interview sdiah-x131
How does MongoDB shard data?	It stores data in range-based chunks on the shard key, with hashed shard keys creating ranges over hash space.	system-design sharding mongodb partitioning expansion-2 hello-interview sdiah-x132
What do Vitess and Citus provide?	Sharding layers for MySQL or PostgreSQL that help with routing, cross-shard behavior, and resharding.	system-design sharding sql vitess citus expansion-2 hello-interview sdiah-x133
How does simple modulo hashing assign a key to a database?	It computes hash(key) modulo the number of database instances.	system-design consistent-hashing modulo expansion-2 hello-interview sdiah-x134
Why does changing modulo from 3 to 4 databases cause massive movement?	The formula changes for almost every key, so most keys map to different database IDs.	system-design consistent-hashing modulo resharding expansion-2 hello-interview sdiah-x135
What size hash space does the consistent hashing article mention for real rings?	Usually 0 to 2^32 - 1, rather than a tiny illustrative ring.	system-design consistent-hashing hash-ring expansion-2 hello-interview sdiah-x136
In the ring example, what happens when a database is added at position 90?	Only keys between the previous node at 75 and the new node at 90 move to the new database.	system-design consistent-hashing hash-ring expansion-2 hello-interview sdiah-x137
Why does removing a node without virtual nodes overload one neighbor?	All keys owned by the removed node move to the next clockwise node, concentrating the failed node's load there.	system-design consistent-hashing virtual-nodes failure-modes expansion-2 hello-interview sdiah-x138
How are virtual nodes created conceptually?	Hash multiple variations of each physical node name, such as DB1-vn1 and DB1-vn2, onto the ring.	system-design consistent-hashing virtual-nodes expansion-2 hello-interview sdiah-x139
How do virtual nodes help when adding a new physical node?	The new node's virtual positions take small ranges from many existing nodes instead of only one neighbor.	system-design consistent-hashing virtual-nodes scaling expansion-2 hello-interview sdiah-x140
What problem do virtual nodes solve better than hot-key traffic?	They reduce structural imbalance in key distribution, not traffic imbalance from one extremely popular key.	system-design consistent-hashing virtual-nodes hot-key expansion-2 hello-interview sdiah-x141
Why does consistent hashing not move data automatically during an outage?	The hash ring describes ownership; actual availability usually comes from replicas, not instant movement of terabytes.	system-design consistent-hashing replication reliability expansion-2 hello-interview sdiah-x142
How does replication interact with consistent hashing in Cassandra-like systems?	Data can be replicated to multiple consecutive nodes on the ring so surviving replicas can serve reads after a node fails.	system-design consistent-hashing replication cassandra expansion-2 hello-interview sdiah-x143
What is adaptive rebalancing for hot spots?	Monitoring traffic and moving specific ranges or keys away from overloaded nodes.	system-design consistent-hashing hotspots rebalancing expansion-2 hello-interview sdiah-x144
What is the key tradeoff of Redis Cluster fixed hash slots compared with a textbook hash ring?	Fixed slots are simpler to reason about, but rebalancing requires explicit coordination of slot ownership.	system-design consistent-hashing redis cluster expansion-2 hello-interview sdiah-x145
What does CAP consistency mean in the article?	All nodes see the same data at the same time after a write, so later reads return the updated value.	system-design cap-theorem consistency expansion-2 hello-interview sdiah-x146
How is CAP consistency different from ACID consistency?	CAP consistency is about distributed read visibility after writes, while ACID consistency is about database invariants across transactions.	system-design cap-theorem acid consistency expansion-2 hello-interview sdiah-x147
Why is partition tolerance non-negotiable in distributed systems?	Network failures and message loss will happen, so the system must have behavior for partitions.	system-design cap-theorem partition-tolerance expansion-2 hello-interview sdiah-x148
In the CAP profile example, what does choosing consistency mean during a partition?	Return an error rather than risk showing stale profile data.	system-design cap-theorem consistency expansion-2 hello-interview sdiah-x149
In the CAP profile example, what does choosing availability mean during a partition?	Show potentially stale profile data instead of failing the request.	system-design cap-theorem availability expansion-2 hello-interview sdiah-x150
What question helps decide between consistency and availability?	Would it be catastrophic if users briefly saw inconsistent data?	system-design cap-theorem tradeoffs expansion-2 hello-interview sdiah-x151
What technology choices can support consistency-prioritized designs?	Traditional RDBMSs, Google Spanner, or DynamoDB with strong consistency mode depending on the use case.	system-design cap-theorem consistency databases expansion-2 hello-interview sdiah-x152
What technology choices can support availability-prioritized designs?	Cassandra, DynamoDB across availability zones, Redis clusters, asynchronous replicas, and CDC pipelines.	system-design cap-theorem availability databases expansion-2 hello-interview sdiah-x153
Why can single-node solutions avoid CAP-style consistency problems?	There is one source of truth, so no replica coordination or partitioned replica disagreement is involved.	system-design cap-theorem consistency databases expansion-2 hello-interview sdiah-x154
What is the scalability downside of a single-node consistency solution?	It limits horizontal scaling and can become a capacity or availability bottleneck.	system-design cap-theorem scalability tradeoffs expansion-2 hello-interview sdiah-x155
Which Ticketmaster features need different consistency choices?	Seat booking needs strong consistency, while viewing event details can tolerate availability and slight staleness.	system-design cap-theorem ticketmaster consistency expansion-2 hello-interview sdiah-x156
Which Tinder features need different consistency choices?	Matching needs consistency, while viewing a profile can often tolerate stale profile data.	system-design cap-theorem consistency availability expansion-2 hello-interview sdiah-x157
What is causal consistency?	Related events appear in the same logical order to all users, such as a comment appearing after its post.	system-design cap-theorem causal-consistency expansion-2 hello-interview sdiah-x158
What is read-your-own-writes consistency useful for?	It lets a user immediately see their own updates even if other users may temporarily see older data.	system-design cap-theorem read-your-own-writes expansion-2 hello-interview sdiah-x159
Why is eventual consistency often the default behavior of distributed databases?	It allows replicas to remain available and converge later instead of coordinating every read and write synchronously.	system-design cap-theorem eventual-consistency expansion-2 hello-interview sdiah-x160
What is Redis' fundamental architecture tradeoff?	It is in-memory and very fast, but durability guarantees are weaker than a traditional disk-backed database.	system-design redis durability performance expansion-2 hello-interview sdiah-x161
What is Redis AOF used for?	Append-only file persistence reduces data loss risk by logging writes for recovery.	system-design redis persistence aof expansion-2 hello-interview sdiah-x162
Why might AWS MemoryDB be chosen over plain Redis?	It trades some speed for stronger disk-backed durability around the Redis API model.	system-design redis memorydb durability expansion-2 hello-interview sdiah-x163
What Redis data structures does the article highlight beyond strings?	Hashes, lists, sets, sorted sets, Bloom filters, geospatial indexes, time series, streams, and Pub/Sub.	system-design redis data-structures expansion-2 hello-interview sdiah-x164
Why is Redis key design a scaling decision?	Cluster routing is based on keys, so the way keys are organized determines data placement and request locality.	system-design redis key-design cluster expansion-2 hello-interview sdiah-x165
