Front	Back	Tags	Source
When should functional requirements be settled before non-functional requirements?	Use functional requirements to define what the system must do; then use non-functional requirements to decide how reliable, fast, scalable, secure, durable, or cheap it must be.	system-design requirements	System Design (Index).md
Why do non-functional requirements usually drive architecture more than feature lists?	They turn vague qualities such as low latency or high availability into constraints that force choices about storage, replication, caching, isolation, and cost.	system-design requirements	System Design (Index).md
What makes an SLI a good reliability signal?	A good service level indicator measures a user-visible outcome such as successful requests, latency, freshness, or error rate, not just an internal component being up.	system-design reliability-sli	Service Level Indicator.md
How should an SLO differ from an SLA in a healthy reliability process?	An SLO is the internal target engineers manage toward; an SLA is the external contractual promise, usually set lower so the team can react before penalties or credits apply.	system-design reliability-slo	Service Level Objective.md; Service Level Agreement.md
Why are error budgets useful when discussing SLOs?	They convert reliability into a product tradeoff; if the service is inside budget, teams can take more release risk, and if it burns budget, stability work takes priority.	system-design reliability-slo	System Design (Index).md
Why is average latency often the wrong number to optimize first?	Averages hide slow paths; p95 or p99 latency better captures the requests users and upstream timeouts actually feel.	system-design latency	System Design (Index).md
When does tail latency become a system-wide problem rather than a single slow request?	When one user action fans out to many dependencies, the slowest dependency can dominate the end-to-end response even if each service has acceptable average latency.	system-design tail-latency	System Design (Index).md
What is the point of a latency budget?	It allocates the total acceptable response time across client work, network hops, services, queues, caches, and storage so each component knows its limit.	system-design latency	System Design (Index).md
When should availability be traded against consistency?	During partitions or dependency failures, choose availability when stale or partial data is acceptable; choose consistency when serving stale data would break correctness or trust.	system-design availability	CAP Theorem.md
Why is durability a separate concern from availability?	A system can respond to requests while still risking committed data loss; durability is about surviving crashes, disk loss, replication lag, or bad recovery without losing accepted writes.	system-design durability	System Design (Index).md
When is vertical scaling a reasonable first move?	Use it for simple bottleneck relief when one larger node can meet the workload and the bigger failure blast radius or hardware ceiling is acceptable.	system-design scaling	System Design (Index).md
When is horizontal scaling the better long-term scaling model?	Use it when work can be split across instances, partitions, replicas, or workers so capacity grows by adding nodes instead of only buying a bigger one.	system-design scaling	System Design (Index).md
Why should scalability target expected growth rather than hypothetical infinite scale?	Designing for imaginary scale adds complexity before it pays for itself; real estimates should decide when caches, queues, shards, or replicas are justified.	system-design scalability	System Design (Index).md
How do throughput and latency differ in capacity planning?	Throughput measures work completed per time; latency measures how long one unit of work waits or runs, and improving one can hurt the other.	system-design capacity	System Design (Index).md
Why does peak-to-average ratio matter for provisioning?	A high peak-to-average ratio means average load is misleading; the system may need autoscaling, buffering, admission control, or reserved capacity for bursts.	system-design capacity	System Design (Index).md
When is QPS a useful requirement and when is it incomplete?	QPS is useful for sizing request paths, but incomplete without request mix, payload size, fanout, peak shape, latency target, and failure-mode assumptions.	system-design capacity	System Design (Index).md
When is a monolith the pragmatic architecture?	Use a monolith when the team and domain are small enough that simple deployment, local reasoning, and shared transactions matter more than independent service scaling.	system-design architecture	System Design (Index).md
When do microservices justify their operational overhead?	Use microservices when clear ownership boundaries, independent deployability, fault isolation, or separately scaled workloads outweigh distributed-system complexity.	system-design microservices	Microservice.md
What is the biggest hidden cost of moving from monolith to microservices?	Local function calls become unreliable network calls, so teams must handle latency, partial failure, versioning, tracing, retries, and cross-service data consistency.	system-design microservices	System Design (Index).md
When should a Backend for Frontend be introduced?	Use a BFF when web, mobile, admin, or partner clients need different data shaping or workflows that would otherwise bloat a shared API.	system-design api-design	Backend for Frontend.md
How does a BFF differ from a generic API gateway?	An API gateway centralizes routing and cross-cutting policy; a BFF contains client-specific orchestration and response shaping.	system-design api-design	API Gateway.md; Backend for Frontend.md
When is an API gateway worth drawing in a system design?	Draw it for microservices or public API entry points that need routing, authentication, rate limiting, TLS termination, request validation, logging, or policy enforcement.	system-design api-gateway	API Gateway.md
What is the main failure mode of an overgrown API gateway?	It becomes a shared business-logic bottleneck that every team must coordinate through, slowing deploys and concentrating blast radius.	system-design api-gateway	API Gateway.md
Why should API gateway middleware be kept fast?	Gateway work runs on every request; slow auth, rate-limit, logging, or transformation calls add latency to the entire platform.	system-design api-gateway	API Gateway.md
When should a layer 4 load balancer be preferred over layer 7?	Use layer 4 for high-throughput TCP, UDP, TLS, or long-lived connections where the balancer does not need HTTP-aware routing.	system-design load-balancing	Load Balancing.md; docs.aws.amazon.com
When should a layer 7 load balancer be preferred over layer 4?	Use layer 7 when routing or policy depends on HTTP details such as host, path, headers, methods, cookies, or request content.	system-design load-balancing	Load Balancing.md; docs.aws.amazon.com
