Front	Back	Tags	Source
When should you use OpenStreetMap data instead of Google or Apple map data?	Use OSM when you need open reuse, redistribution, offline access, editability, or crisis mapping; commercial maps are optimized for proprietary consumer navigation and often restrict derived datasets.	geospatial open-data	OpenStreetMap.md
What is the main operational risk of using OpenStreetMap as a production basemap tile source?	OSM data is open, but the public tile servers are not a free production CDN; heavy apps should self-host, cache properly, or use a tile provider.	geospatial basemaps	OpenStreetMap.md; openstreetmap.org
When is Overture Maps a better starting point than raw OSM extracts?	Use Overture when you want normalized, release-versioned, cloud-queryable base map themes such as places, buildings, roads, boundaries, and base features in GeoParquet.	geospatial open-data	Overture Maps Foundation.md; docs.overturemaps.org
What problem does Overture Maps solve that OSM intentionally does not fully solve?	Overture reconciles multiple sources into consistent schemas and releases; OSM prioritizes open volunteer editing, which creates variable coverage and tagging inconsistency.	geospatial open-data	Overture Maps Foundation.md
Why is a basemap different from your operational data layer?	A basemap provides geographic context such as roads, labels, terrain, and water; your operational layer carries the task-specific data being analyzed or interacted with.	geospatial basemaps	Basemap.md
When should you choose a vector basemap instead of a raster basemap?	Choose vector when you need dynamic styling, language changes, layer filtering, feature interaction, or smooth high-DPI rendering; raster is simpler but fixed.	geospatial basemaps	Basemap.md
What problem does the slippy map pattern solve?	It lets a browser pan and zoom across large maps by requesting only the tiles currently needed, reusing cached tiles and avoiding full-world downloads.	geospatial web-maps	Slippy Map.md
Why does a tile pyramid matter for performance?	It precomputes data at multiple zoom levels so the client or server reads an appropriate resolution instead of resampling full-detail data for every view.	geospatial tiles	Tile Pyramid.md
What is the key difference between raster tiles and vector tiles?	Raster tiles are pre-rendered images; vector tiles contain clipped geometry and attributes that the client styles and renders.	geospatial tiles	Tile.md
When is GeoJSON the wrong response format for a web map?	When the dataset is large or pan/zoom-driven; use vector tiles so the browser receives only viewport-relevant features at appropriate detail.	geospatial geojson	GeoJSON.md
What does an MVT tile contain?	An MVT tile contains one or more layers of clipped, simplified vector features encoded as compact Protobuf geometry and properties in tile-local coordinates.	geospatial vector-tiles	Mapbox Vector Tile.md; ogc.org
Why are vector tile coordinates usually local integers instead of global lon/lat floats?	Local integer coordinates make tiles compact and fast to render; the renderer maps them back to the tile bounds and screen position.	geospatial vector-tiles	Vector Tile.md
Why are vector tiles lossy for analysis?	They are clipped, simplified, and zoom-dependent for visualization, so they may omit or alter geometry needed for exact counts, joins, or measurements.	geospatial vector-tiles	PMTiles.md
When is PMTiles a good fit?	Use PMTiles for static or periodically regenerated tile pyramids that should be served directly from object storage or a CDN without a tile backend.	geospatial pmtiles	PMTiles.md; docs.protomaps.com
