Front	Back	Tags	Source
What is a consistency model in system design?	A consistency model is the promise a system makes about what reads can observe after writes. In interviews, specify the guarantee and its scope, such as global, per-object, per-partition, per-region, per-query, or per-session.	system-design consistency	Consistency.md; High-Priority-System-Design.md
What is strong consistency, or linearizability?	Strong consistency means the system behaves like one up-to-date copy of the data: every operation takes effect at one instant between its start and finish, and real-time order is preserved. If a write completes before a read starts, that read must see the write.	system-design consistency	Strong Consistency.md; Consistency.md
How can a system provide strong consistency?	Reads and writes coordinate through an authority that knows the latest committed value, such as a single leader, consensus group, quorum reads plus quorum writes, or synchronous replication. Replicas should not independently answer freshness-sensitive reads unless they can prove they are current.	system-design consistency	Strong Consistency.md
When is strong consistency worth its coordination cost?	Use it when wrong ordering causes real damage: balances, inventory reservations, distributed locks, unique usernames, ticket booking, and other single-truth decisions. The tradeoff is higher coordination cost, higher latency, lower partition availability, and harder cross-region operation.	system-design consistency	Strong Consistency.md; Consistency.md
What is strong read-after-write consistency?	Strong read-after-write consistency means that after a write is acknowledged, later reads see that write. The important caveat is scope: this guarantee is often only for one object, partition, region, API path, or session.	system-design consistency	Strong Read-After-Write Consistency.md; Consistency.md
How can a system provide strong read-after-write consistency?	A system acknowledges a write only after it is durable somewhere authoritative, then routes later reads to a place that has applied that write. Common mechanisms include leader reads, waiting for replica catch-up, quorum reads and writes, or carrying a version or timestamp into later reads.	system-design consistency	Strong Read-After-Write Consistency.md
How does read-after-write consistency differ from linearizability?	Linearizability defines one real-time order for all clients' operations; read-after-write usually only says later reads see an acknowledged write within a defined scope. For example, a direct `GET /file/123` may see a new upload while search, lists, analytics, or another region still lag.	system-design consistency	Strong Read-After-Write Consistency.md; Strong Consistency.md
What is read-your-writes consistency?	Read-your-writes consistency means a client always sees its own writes, even if other clients temporarily see older data. It is a session-scoped guarantee aimed at avoiding user confusion after edits, posts, settings changes, or drafts.	system-design consistency	Read-your-Writes Consistency.md; Consistency.md
How can a system provide read-your-writes consistency for a client?	The client or session tracks the latest version it wrote, such as a log position, timestamp, vector, or session token. Later reads route to the leader, use a replica that has reached that version, wait for catch-up, or stay on the same node through sticky sessions.	system-design consistency	Read-your-Writes Consistency.md
What is monotonic reads consistency?	Monotonic reads consistency means that once a client has seen a version of data, future reads by that client do not return older versions. It prevents confusing time-travel experiences, but it does not guarantee the client sees the latest value.	system-design consistency	Monotonic Reads Consistency.md; Consistency.md
How can a system provide monotonic reads consistency for a client?	The client or session records the highest version, timestamp, or log position it has observed. Later reads must go to a replica at least that fresh, wait for the chosen replica to catch up, choose a fresher replica, or forward the read to the leader.	system-design consistency	Monotonic Reads Consistency.md
How do read-your-writes and monotonic reads differ?	Read-your-writes tracks the latest version the client wrote; monotonic reads tracks the latest version the client has observed. A user might not write anything but still should not refresh a dashboard and see an older state than the one they just saw.	system-design consistency	Read-your-Writes Consistency.md; Monotonic Reads Consistency.md
What is causal consistency?	Causal consistency means if event B depends on event A, everyone who sees B must also see A first. Concurrent independent events can still appear in different orders to different users.	system-design consistency	Causal Consistency.md; Consistency.md
How can a system provide causal consistency?	The system tracks dependencies between operations, often with vector clocks, version vectors, causal broadcast, or CRDT-style metadata. Replicas delay making a dependent write visible until they have also received and applied its causes.	system-design consistency	Causal Consistency.md
For what kinds of workflows is causal consistency useful?	Use causal consistency when relationships between events matter, such as replies after messages, comments after posts, accepted friend requests after sent requests, or collaborative activity feeds. It preserves cause and effect without requiring one total global order.	system-design consistency	Causal Consistency.md; Consistency.md
What is consistent prefix consistency?	Consistent prefix consistency means reads see a prefix of the write history: they may be stale, but they do not show later writes without earlier writes that came before them. For example, an order page may show `created -> paid` while missing `shipped`, but should not show `shipped` without `paid`.	system-design consistency	Consistent Prefix Consistency.md; Consistency.md
How can a system provide consistent prefix reads?	Writes are placed into an ordered log, replicas apply that log in order, and reads are served from a replica or snapshot at a known log offset. This is common in leader-follower replication where followers replay the leader's log sequentially.	system-design consistency	Consistent Prefix Consistency.md
How does consistent prefix differ from causal consistency?	Consistent prefix preserves order within some write history, log, shard, or partition; causal consistency preserves cause-and-effect relationships even across objects or partitions when dependencies are tracked. A global prefix that respects causality can be strong, but a per-partition prefix can miss cross-partition dependencies.	system-design consistency	Consistent Prefix Consistency.md; Causal Consistency.md
What is eventual consistency?	Eventual consistency means that if writes stop, all replicas eventually converge to the same value, but before convergence reads may return stale, different, or conflicting values. It is the most relaxed model and is often chosen for availability, low latency, and scale.	system-design consistency	Eventual Consistency.md; Consistency.md
How can a system provide eventual consistency?	Replicas accept writes without immediate global coordination, then exchange updates through asynchronous replication, gossip, anti-entropy, background repair, or read repair. Conflicts are resolved with strategies such as last-write-wins, merge functions, application logic, or CRDTs.	system-design consistency	Eventual Consistency.md
For what kinds of data is eventual consistency acceptable?	Use eventual consistency for like counts, view counts, recommendations, search indexing, metrics, caches, DNS-style replication, and derived views. Temporary disagreement is acceptable if the system converges and the product can tolerate stale reads or conflict resolution.	system-design consistency	Eventual Consistency.md; Consistency.md
How should you choose a consistency model for a workflow in a system design interview?	Choose consistency by workflow, not by product. Use linearizability when wrong ordering causes damage, read-your-writes or monotonic reads when the main risk is user confusion, causal consistency when event relationships matter, consistent prefix when ordered history matters, and eventual consistency when freshness is less important than speed, availability, or scale.	system-design consistency	Consistency.md; High-Priority-System-Design.md
What is conflict resolution in system design?	Conflict resolution is deciding what to do when two or more writes create competing versions of the same logical data. The system must decide whether one value wins, both changes merge, a write is rejected, a human decides, or a compensating action repairs the outcome.	system-design conflict-resolution	Conflict Resolution.md
How does conflict prevention differ from conflict resolution?	Conflict prevention coordinates before accepting writes so conflicts do not commit; conflict resolution accepts independent writes and merges, rejects, or repairs them later. Prevention gives simpler correctness at higher coordination cost, while resolution improves availability and UX only when merge rules are safe.	system-design conflict-resolution	Conflict Resolution.md
When should a system prevent write conflicts before commit instead of resolving them later?	Prefer conflict prevention for money movement, inventory, unique IDs, locks, and other data where accepting two conflicting writes would cause real damage. Use tools such as a single writer, linearizability, serializable transactions, or strict ledgers.	system-design conflict-resolution	Conflict Resolution.md; Strong Consistency.md; Serializable Isolation.md
What is the difference between mechanical conflict detection and semantic conflict resolution?	A database can detect that two writes were based on the same old version or that two revisions are concurrent. The application usually has to decide the domain meaning, such as whether two cart additions should be merged or one profile-name edit should win.	system-design conflict-resolution	Conflict Resolution.md
How does optimistic concurrency control prevent concurrent writes from silently overwriting each other?	Each record carries a version, and the client updates only if the version it read is still current. If the conditional update affects zero rows, the app knows the write was based on stale data and can reject, retry, or merge intentionally.	system-design conflict-resolution	Conflict Resolution.md; Optimistic Concurrency Control.md
How can optimistic concurrency control be combined with application-specific merge logic?	When a stale update fails, the app reloads the latest record, interprets the user's intended operation, merges it with current state if safe, and writes a new version. For a cart, `add tea` and `add sugar` can both survive instead of one overwriting the other.	system-design conflict-resolution	Conflict Resolution.md
What is last-write-wins conflict resolution?	Last-write-wins picks the write with the latest timestamp or highest version and discards competing versions. It is simple for caches, presence, or replaceable values, but dangerous for important data because it can silently lose real updates and depends on clock or version semantics.	system-design conflict-resolution	Conflict Resolution.md; general system-design knowledge
When is application-specific merge better than last-write-wins?	Use application-specific merge when the domain has safe merge semantics, such as cart additions, tags, preferences, counters, or collaborative edits. It gives better UX than discarding a write, but the merge logic must encode real product invariants.	system-design conflict-resolution	Conflict Resolution.md
What are commutative operations in conflict resolution?	Commutative operations are updates that can be applied in different orders and still converge, such as incrementing a counter or adding an item to a set. Storing operations like `increment by 1` is often safer under replication than storing final states like `set count to 42`.	system-design conflict-resolution	Conflict Resolution.md
What problem does a CRDT solve in conflict resolution?	A CRDT is a replicated data type with deterministic merge rules, so replicas can accept updates independently and converge automatically. CRDTs fit offline-first apps, distributed counters, sets, and some collaborative systems, but add data-model and implementation complexity.	system-design conflict-resolution	Conflict Resolution.md; Conflict-Free Replicated Datatype.md
How can a multi-replica system discover concurrent write conflicts?	Replicas attach version metadata such as version vectors or revision contexts to writes. If neither version dominates the other, the system knows the writes were concurrent and must resolve them on write, on read, or through a background resolver.	system-design conflict-resolution	Conflict Resolution.md
What is user-assisted conflict resolution?	User-assisted resolution keeps multiple versions and asks a user to choose or merge them. It is appropriate for high-value documents, legal edits, design files, or ambiguous changes where silent automatic merge would risk data loss.	system-design conflict-resolution	Conflict Resolution.md
What is a compensation or reconciliation workflow after a conflict?	A compensation workflow allows a temporary inconsistency, then performs a follow-up repair such as canceling an oversold order, refunding a payment, or reconciling records. It works only when the business can tolerate correction after the fact.	system-design conflict-resolution	Conflict Resolution.md
What is idempotency in system design?	Idempotency means performing the same logical operation multiple times has the same intended effect as performing it once. It lets requests, messages, jobs, and commands be retried without accidentally duplicating side effects.	system-design idempotency	Idempotency.md
Why does idempotency matter for retries?	After a timeout, a client often cannot tell whether the server never received the request, processed it but failed to respond, crashed mid-flight, or is still processing it. Idempotency lets the client retry safely despite that uncertainty.	system-design idempotency	Idempotency.md
How is idempotency different from exactly-once delivery?	Idempotency does not mean the operation is delivered or executed only once; it means repeated attempts produce one logical effect. This is usually more realistic than proving end-to-end exactly-once behavior across clients, queues, workers, databases, and external APIs.	system-design idempotency	Idempotency.md; Exactly Once.md
How is idempotency different from deduplication?	Deduplication is one implementation technique, such as remembering that an event ID was already processed. Idempotency is the broader correctness property that retries do not duplicate the intended side effect.	system-design idempotency	Idempotency.md
What is an idempotency key?	An idempotency key is a stable identifier for one logical operation, such as one payment attempt or one order submission. On retry, the client sends the same key so the server can return the original result instead of repeating the side effect.	system-design idempotency	Idempotency.md
How should a system scope an idempotency key?	Scope the key to the actor and operation so unrelated users, tenants, endpoints, or resources cannot collide. A good design treats `user_id + endpoint + idempotency_key` or a similar compound key as the true uniqueness boundary.	system-design idempotency	Idempotency.md; general system-design knowledge
