Front	Back	Tags	Source
What problem does sustainment solve in military operations?	Sustainment keeps a force able to operate by providing logistics, personnel services, financial management, and health service support until mission accomplishment.	logistics sustainment	Sustainment.md; rdl.train.army.mil
How is logistics narrower than sustainment?	Logistics focuses on movement and support of forces, such as supply, maintenance, transportation, fuel, ammunition, field services, and distribution; sustainment also includes personnel services, finance, and health service support.	logistics sustainment	Sustainment.md
Why does sustainment matter to operational reach?	A force can only attack, defend, or move as far and as long as fuel, ammunition, maintenance, medical support, transportation, and personnel systems can keep up.	logistics sustainment	Sustainment.md
What are the four practical variables in the "4 Ds of sustainment"?	Demand, destination, distance, and duration; what is needed, where it must go, how far it must move, and how long support must continue.	logistics sustainment	Sustainment.md
Why are the 5 Ws useful in sustainment planning?	They force planners to specify who is supported, what is needed, where it goes, when it must arrive, and why it matters to the maneuver plan.	logistics sustainment	Sustainment.md
When does a sustaining operation become decisive to the mission?	It becomes decisive when failure to preserve combat power, support, or operational endurance would prevent the main operation from continuing.	logistics sustainment	Sustaining Operation.md
What is the logistics meaning of a culminating point?	It is the point where a force can no longer continue its current offense or defense effectively because combat power, momentum, or sustainment has fallen below what the mission requires.	logistics sustainment	Culminating Point.md
Why is logistics often what determines culmination?	Even tactically successful units culminate if fuel, ammunition, maintenance, medical support, or transport cannot keep pace with the fight.	logistics sustainment	Culminating Point.md
How should planners use a course of action in logistics?	Use a logistics COA to compare concrete support options, including routes, timing, transportation, supply points, maintenance, medical support, risks, and assumptions.	logistics planning	Course of Action.md
What makes a logistics COA more useful than "we will resupply the unit"?	A useful COA specifies how support moves, who executes it, when it happens, where handoffs occur, what risks exist, and what decision points change the plan.	logistics planning	Course of Action.md
What qualities should distinguish competing logistics COAs?	They should be feasible, acceptable, suitable, distinguishable, and complete enough to compare against mission constraints.	logistics planning	Course of Action.md
When should a logistics planner create multiple COAs?	Create multiple COAs when the support problem has meaningful alternatives in route, timing, mode, priority, risk, or allocation of scarce capacity.	logistics planning	Course of Action.md
What problem does a decision point solve in logistics?	It prevents improvising under pressure by defining the trigger, options, and timing for changing a sustainment plan while action is still possible.	logistics planning	Decision Point.md
What is a good logistics decision point tied to?	A good decision point is tied to a condition that matters, such as supply dropping below threshold, a route becoming unsafe, a unit reaching a phase line, or a LOGPAC missing its window.	logistics planning	Decision Point.md
How does a decision point differ from a branch plan?	The decision point is the trigger for choosing; the branch plan is the alternate action that gets executed after the choice.	logistics planning	Decision Point.md
Why is a LOGSTAT more than an administrative report?	A LOGSTAT is a demand signal that lets sustainers forecast requirements, prioritize resupply, and understand readiness across units.	logistics logstat	Logistics Status.md; army.mil/article/173373
What failure mode do late or inaccurate LOGSTATs create?	They make LOGSYNC and resupply planning operate on stale or false data, which can send the wrong commodities to the wrong units at the wrong time.	logistics logstat	Logistics Status.md
Why should LOGSTATs report concrete quantities instead of only color status?	Colors summarize risk, but quantities let sustainers calculate consumption, capacity, days of supply, and actual resupply requirements.	logistics logstat	Logistics Status.md
Why can a LOGSTAT turn-in rate below 100 percent distort brigade sustainment?	Missing reports hide real demand, force assumptions, and bias support toward units whose data happens to be visible.	logistics logstat	Logistics Status.md; army.mil/article/173373
Why do LOGSTATs often need a PACE plan?	If the primary reporting method fails, alternate communication paths keep demand signals moving before the sustainment picture goes stale.	logistics logstat	Logistics Status.md
How does a LOGSTAT feed a LOGSYNC?	LOGSTATs provide the current on-hand quantities, consumption changes, and requirements that the LOGSYNC turns into resupply timing, locations, and responsibilities.	logistics logstat-logsync	Logistics Status.md; Logistics Synchronization.md
What is the risk of using a generic LOGSTAT for all units?	It assumes equal consumption across units, ignoring mission, contact, terrain, equipment, and priority of effort.	logistics logstat	Logistics Status.md
Why is comparing AM and PM LOGSTATs useful?	The change between reports reveals consumption rate and whether reported usage matches what actually happened in the fight.	logistics logstat	Logistics Status.md
When is "days of supply" a useful measure?	Use days of supply when the commodity has a defensible consumption rate and the operational tempo is stable enough for the estimate to mean something.	logistics forecasting	Days of Supply.md; Logistics Status.md
What is the gotcha with saying "we have two days of supply"?	It can create false confidence if the supply class is episodic or demand can spike, such as ammunition during contact or medical supplies after a mass casualty event.	logistics forecasting	Logistics Status.md
Why is days of supply more credible for water than some other classes?	Water consumption is often more continuous and estimable, while ammunition, medical, and repair parts can change abruptly with contact or breakdowns.	logistics forecasting	Logistics Status.md
How do sustainment planning factors help before LOGSTAT data is available?	Planning factors give standard multipliers, such as fuel per vehicle-mile or water per soldier, to estimate requirements before actual consumption is observed.	logistics forecasting	Sustainment Planning Factor.md
What is the risk of relying only on sustainment planning factors?	They are estimates; they must be updated with LOGSTATs, terrain, weather, mission intensity, enemy action, and actual consumption.	logistics forecasting	Sustainment Planning Factor.md
How do demand signals differ from forecasts?	A forecast predicts need before it appears; a demand signal indicates actual or near-real need that should update the plan.	logistics signals	Demand Signal.md
What makes a LOGSTAT a demand signal?	It reports on-hand quantities, shortages, and requirements from supported units, so it can trigger replenishment, movement, and allocation decisions.	logistics signals	Logistics Status.md; Demand Signal.md
How is a supply signal broader than a LOGSTAT?	A supply signal is any observation that changes the system's understanding of supply state; a LOGSTAT is one formal report that can provide such a signal.	logistics signals	Supply Signal.md
Why are automatically sensed supply signals valuable?	They reduce manual reporting burden and can make supply state visible faster than typed or voice-submitted LOGSTATs.	logistics signals	Supply Signal.md
What is the practical difference between a supply signal and a demand signal?	A supply signal updates what the system believes is on hand or projected; a demand signal indicates need that may trigger replenishment or movement.	logistics signals	Supply Signal.md; Demand Signal.md
What problem does LOGSYNC solve?	LOGSYNC aligns sustainment actions with maneuver plans so supply, maintenance, transportation, and medical support happen at the right time and place.	logistics logsync	Logistics Synchronization.md
What makes a LOGSYNC successful rather than just a meeting?	It produces synchronization: shared requirements, resolved conflicts, assigned responsibilities, timing, locations, and a usable LOGSYNC matrix.	logistics logsync	Logistics Synchronization.md
Why should maneuver leaders attend LOGSYNC, not just sustainers?	Sustainment planning depends on upcoming maneuver, priority of effort, risk, and timing; without maneuver input, support plans can solve the wrong problem.	logistics logsync	Logistics Synchronization.md
What is the common failure mode of LOGSYNC in training?	Units treat it as a briefing or skip it when busy, so gaps 8 to 12 hours out are never discussed before they become emergencies.	logistics logsync	Logistics Synchronization.md
