Front	Back	Tags	Source
Why does electronics care about electrons rather than just "electricity"?	Electrons are the mobile charge carriers in many conductors and semiconductors, so circuit behavior comes from how charge moves under electric fields.	electronics fundamentals	Electronics (Index).md
What problem does electric charge explain in circuit reasoning?	Charge explains why particles exert forces, why current can flow, and why stored or separated charge creates voltage and electric fields.	electronics fundamentals	Electronics (Index).md
When is Coulomb's law useful instead of Ohm's law?	Use Coulomb's law for forces between charges and electric fields; use Ohm's law for current, voltage, and resistance in circuit elements.	electronics fundamentals	Electronics (Index).md
What does an electric field tell you in practical terms?	It tells what force a charge would experience at a point, which is the basis for voltage, capacitance, insulation stress, and semiconductor behavior.	electronics fundamentals	Electronics (Index).md
Why can conductors carry current easily?	They have mobile charge carriers that can move through the material when an electric field is applied.	electronics materials	Electronics (Index).md
When is an insulator a design feature rather than just "non-conductive stuff"?	Use insulation to prevent unintended current paths, protect users, separate PCB nets, store charge in capacitors, and withstand voltage stress.	electronics materials	Electronics (Index).md
Why are semiconductors the foundation of modern electronics?	Their conductivity can be controlled by doping, voltage, light, temperature, or fields, enabling diodes, transistors, sensors, and integrated circuits.	electronics semiconductors	Electronics (Index).md
How should voltage be interpreted when debugging a circuit?	Voltage is energy per unit charge between two points, so it only makes sense as a difference relative to a reference node.	electronics voltage	Electronics (Index).md
Why is measuring voltage usually safer than measuring current?	Voltage is measured in parallel with high meter impedance; current measurement usually requires putting the meter in series, which can create shorts if done wrong.	electronics measurement	Electronics (Index).md
What does current tell you that voltage alone does not?	Current tells how much charge is flowing through a path, which determines power use, heating, fuse sizing, and whether components are overloaded.	electronics current	Electronics (Index).md
When does resistance become a thermal concern?	Whenever current flows through resistance, power is dissipated as heat, so resistor wattage, trace width, and component temperature must be checked.	electronics resistance	Electronics (Index).md
How do resistance and conductance differ in reasoning?	Resistance describes opposition to current; conductance describes ease of current flow and is useful when combining parallel paths.	electronics resistance	Electronics (Index).md
What does the coulomb unit connect conceptually?	One coulomb is the amount of charge moved by one ampere in one second, connecting charge, current, and time.	electronics units	Electronics (Index).md
How do watt and joule differ?	A joule measures energy; a watt measures the rate of energy transfer, equal to one joule per second.	electronics power	Watt.md; Joule.md
Why is power often the real design constraint behind a voltage/current calculation?	Power determines battery life, heat, regulator sizing, resistor wattage, motor load, and whether a component survives.	electronics power	Electronics (Index).md
When should you use P = VI instead of only Ohm's law?	Use P = VI to check energy transfer and heating after finding voltage or current, especially for loads, resistors, regulators, and batteries.	electronics power	Electronics (Index).md
What is the practical use of Ohm's law?	Use V = IR to predict voltage drop, current, or required resistance in resistive parts of a circuit.	electronics circuit-analysis	Electronics (Index).md
What is a common misuse of Ohm's law?	Applying V = IR to nonlinear or active components like diodes, transistors, batteries, motors, or regulators without considering their actual behavior.	electronics circuit-analysis	Electronics (Index).md
When is Kirchhoff's Current Law the right tool?	Use KCL at circuit nodes to account for every current entering and leaving, especially in nodal analysis and debugging unexpected current paths.	electronics circuit-analysis	Kirchhoff's Current Law.md
When is Kirchhoff's Voltage Law the right tool?	Use KVL around a closed loop to account for source rises and component drops, especially in series paths and mesh analysis.	electronics circuit-analysis	Kirchhoff's Voltage Law.md
Why is ground not automatically the same thing as earth?	Ground is a circuit reference or return node; it may be tied to earth, chassis, battery negative, or isolated depending on the design.	electronics grounding	Electronics (Index).md
What is the failure mode of a bad ground assumption?	Two parts of a system may not share the same reference, causing wrong measurements, noisy signals, ground loops, or destructive current paths.	electronics grounding	Electronics (Index).md
Why is a short circuit dangerous?	It creates a low-resistance path that can draw excessive current, overheat wires, damage components, trip protection, or start a fire.	electronics safety	Electronics (Index).md
How does an open circuit fail differently from a short circuit?	An open circuit stops intended current flow; a short circuit bypasses the intended load and can cause excessive current.	electronics debugging	Electronics (Index).md
When is a closed circuit not necessarily a safe circuit?	A closed path allows current, but the path may still have wrong polarity, too little resistance, excessive current, or inadequate protection.	electronics circuits	Electronics (Index).md
What is the key difference between series and parallel components?	Series components share the same current; parallel components share the same voltage.	electronics circuits	Electronics (Index).md
Why does one open component stop a simple series circuit?	A series circuit has only one current path, so an open anywhere breaks the path for every component.	electronics circuits	Electronics (Index).md
Why can one failed branch in a parallel circuit leave other branches working?	Parallel branches provide separate current paths across the same voltage, so an open branch does not necessarily interrupt the others.	electronics circuits	Electronics (Index).md
When should you use a voltage divider?	Use a voltage divider to create a scaled reference or low-current signal from a higher voltage when the load impedance is high enough.	electronics voltage-divider	Electronics (Index).md
What is the main gotcha of using a voltage divider as a power supply?	The output voltage changes with load current and wastes current, so it is poor for powering variable or significant loads.	electronics voltage-divider	Electronics (Index).md
When is a current divider useful?	Use a current divider to determine how current splits among parallel branches according to their resistances or conductances.	electronics circuit-analysis	Electronics (Index).md
