What is the difference between functional and non-functional requirements?	Functional requirements describe what users or clients can do; non-functional requirements describe system qualities like latency, scale, availability, durability, security, and compliance.	system-design requirements nfr sdiah-001
Why should non-functional requirements be quantified when possible?	A concrete target identifies the part of the system that needs special design attention and gives you something to evaluate tradeoffs against.	system-design nfr latency tradeoffs sdiah-002
If search must return results in under 500ms, what kind of requirement is that?	A quantified latency NFR because it names both the operation and the target response time.	system-design nfr latency sdiah-003
When should capacity estimates change a design?	When the numbers decide an architectural question, such as whether one machine, one heap, one cache, or one database can handle the load.	system-design capacity scaling sdiah-004
Why might a TopK trending system require capacity estimation?	The number of tracked topics can determine whether a single in-memory data structure is enough or the computation must be sharded.	system-design capacity scaling topk sdiah-005
What are core entities in a system design?	The central actors, nouns, and resources exchanged through APIs and persisted in the data model.	system-design data-modeling api-design sdiah-006
Why start with a simple complete architecture before adding caches, queues, and shards?	A simple design proves the core data flow works; extra components should be added to satisfy specific scale, latency, reliability, or consistency needs.	system-design architecture tradeoffs sdiah-007
What communication protocol is the default for most systems in the note?	HTTP over TCP because it is well understood, works broadly, and handles most common use cases.	system-design networking http tcp sdiah-008
How do SSE and WebSockets differ?	SSE is server-to-client only; WebSockets are bidirectional and support frequent client-to-server messages.	system-design networking realtime sse websocket sdiah-009
How does SSE deliver updates?	The client opens an HTTP connection, then the server pushes data down that connection; the client cannot send additional data over the same SSE connection.	system-design networking sse realtime sdiah-010
When are WebSockets necessary instead of SSE?	When clients need to push data back to the server frequently over the same realtime connection.	system-design networking websocket realtime sdiah-011
Why do stateful realtime connections require extra operational planning?	A server failure can drop thousands of active connections, and load balancers need to preserve long-lived connection behavior.	system-design networking realtime load-balancing reliability sdiah-012
When is gRPC a good fit?	Internal service-to-service communication where performance is critical.	system-design networking grpc microservices sdiah-013
Why is gRPC usually not chosen for public browser-facing APIs?	Browsers do not typically support gRPC natively as conveniently as REST or JSON-over-HTTP APIs.	system-design networking grpc api-design sdiah-014
What is the main difference between L4 and L7 load balancers?	L4 balances TCP-level connections; L7 can inspect HTTP details and route based on request content.	system-design networking load-balancing sdiah-015
Which load balancer layer is commonly used for persistent WebSocket connections?	L4, because WebSockets maintain persistent TCP connections.	system-design networking load-balancing websocket sdiah-016
Why do CDNs reduce geography-driven latency?	They serve cacheable content from edge locations closer to users, reducing the physical distance a request travels.	system-design networking cdn latency sdiah-017
What latency floor does the note give for a New York to London request?	Around 80ms before application processing, due to the speed of light through fiber.	system-design networking latency geography sdiah-018
What does REST map in API design?	Resources to URLs and HTTP methods to operations on those resources.	system-design api-design rest sdiah-019
What API style is the usual default unless a specific reason says otherwise?	REST.	system-design api-design rest sdiah-020
